bin.002Ωk141_7258_2	UniRef100_D0LKL7~K03296	56.9	1173	474	8	5	1153	14	1178	0.0	1143
bin.002Ωk141_5173_2	UniRef100_Q314D8~K02316	39.3	1101	642	11	22	1107	11	1100	8.72e-260	769
bin.002Ωk141_3189_2	UniRef100_A0A1D7QCP6~K11942	61.8	964	322	7	21	966	10	945	0.0	1145
bin.002Ωk141_8204_2	UniRef100_A0LA77~K07678	35.9	811	468	22	12	810	6	776	2.70e-119	392
bin.002Ωk141_6035_2	UniRef100_A0A0A7EDN7~K03580	41.3	923	508	15	2	905	55	962	2.63e-211	632
bin.002Ωk141_1617_2	UniRef100_A0A0Q8CPB5~K07678	32.1	935	528	23	26	896	24	915	2.55e-101	342
bin.002Ωk141_7748_1	UniRef100_I3YEW5~K03169	50.9	864	383	8	3	840	4	852	2.03e-280	803
bin.002Ωk141_3804_1	UniRef100_A0A143BGP4~K02014	32.3	867	498	19	10	830	10	833	2.69e-105	349
bin.002Ωk141_5068_2	UniRef100_C6E8Q3~K00184	32.8	838	487	21	3	827	192	966	1.34e-109	364
bin.002Ωk141_6971_2	UniRef100_F0KKQ2~K03043	53.3	854	294	5	1	802	42	842	6.53e-288	820
bin.002Ωk141_1552_1	UniRef100_A0A0S2SJR2~K02470	54.5	803	350	6	8	800	6	803	1.46e-295	837
bin.002Ωk141_276_2	UniRef100_A0A143PRI0~K07277	30.9	818	463	20	47	791	73	861	1.72e-106	352
bin.002Ωk141_3238_2	UniRef100_A0A150P5B8~K01886	58.3	769	312	7	18	779	17	783	1.06e-305	862
bin.002Ωk141_2430_2	UniRef100_A2U2P9~K16091	46.5	718	367	9	60	768	34	743	2.64e-212	622
bin.002Ωk141_7171_1	UniRef100_A0A167G834~K12132	32.2	762	483	15	1	744	91	836	1.89e-89	306
bin.002Ωk141_5076_3	UniRef100_Q029J7~K00951	43.9	719	394	3	26	740	27	740	2.54e-213	623
bin.002Ωk141_2166_2	UniRef100_D8K2Z0~K03581	45.1	720	388	4	12	727	12	728	1.22e-204	601
bin.002Ωk141_6752_1	UniRef100_A0A0G2ZQ23~K16055	42.8	706	388	6	3	704	27	720	5.86e-186	552
bin.002Ωk141_1626_3	UniRef100_E1R3P6~K03407	30.3	765	479	11	1	723	100	852	2.47e-103	342
bin.002Ωk141_8035_4	UniRef100_A0A0U5B196~K06147	34.4	710	463	3	2	710	1	708	5.33e-126	397
bin.002Ωk141_5421_1	UniRef100_D5C0Z8~K02014	30.1	698	402	23	40	711	42	679	4.91e-61	224
