bin.001Ωk141_274_2	UniRef100_F8FHU5~K15667	30.1	2415	1467	68	386	2700	3	2296	1.56e-232	778
bin.001Ωk141_472_1	UniRef100_A0A075R803~K15654	30.4	2255	1390	56	144	2278	392	2587	3.00e-244	808
bin.001Ωk141_2950_1	UniRef100_A0A0F7NFV4~K04780	34.4	2195	1259	52	11	2087	15	2145	2.45e-269	870
bin.001Ωk141_7492_1	UniRef100_R9TUM2~K15664	33.1	2183	1304	42	165	2279	450	2544	8.10e-302	957
bin.001Ωk141_2398_2	UniRef100_F8FHU5~K15667	31.6	2282	1390	52	7	2212	110	2296	4.99e-256	832
bin.001Ωk141_3524_1	UniRef100_H6NAX3~K15654	30.5	1904	1183	47	151	2002	26	1840	2.76e-198	661
bin.001Ωk141_2178_1	UniRef100_Q6WZB2~K16099	30.8	2076	1297	41	2	2003	109	2119	9.40e-233	759
bin.001Ωk141_4157_1	UniRef100_A0A0X8KDF8~K15665	31.5	2153	1290	64	8	2029	294	2392	6.00e-231	762
bin.001Ωk141_8005_1	UniRef100_A0A1P8Y833~K04780	33.1	2030	1234	44	1	1970	146	2110	2.03e-257	827
bin.001Ωk141_4898_1	UniRef100_A0A0C5QCG8~K13614	32.0	1808	1015	48	41	1754	41	1727	3.44e-212	696
bin.001Ωk141_4652_1	UniRef100_A0A1D9FM43~K13612	39.2	1808	991	35	217	1934	135	1923	0.0	1146
bin.001Ωk141_36_1	UniRef100_G8SBN5~K04780	34.0	1894	1102	50	39	1853	29	1853	8.64e-229	738
bin.001Ωk141_2125_2	UniRef100_Q8RJY4~K16407	38.8	1857	1043	33	22	1796	1	1845	0.0	1107
bin.001Ωk141_7355_1	UniRef100_A0A1S6HN45~K04784	30.2	1993	976	31	172	1796	30	1975	6.92e-256	809
bin.001Ωk141_2972_1	UniRef100_U5WUW5~K12441	31.6	1573	910	45	119	1613	28	1512	1.73e-163	544
bin.001Ωk141_6722_2	UniRef100_Q8RJY4~K16407	36.4	1801	993	37	18	1678	7	1794	1.10e-303	927
bin.001Ωk141_682_1	UniRef100_A0A2D3DQ84~K13613	34.5	1688	881	33	18	1539	272	1900	1.39e-266	829
bin.001Ωk141_78_1	UniRef100_G2P426~K16378	32.2	1533	952	25	48	1526	28	1526	2.08e-222	699
bin.001Ωk141_1729_1	UniRef100_R4LAH4~K16378	33.1	1387	833	33	72	1398	42	1393	1.00e-169	557
bin.001Ωk141_3698_2	UniRef100_Q4JFF4~K12912	35.9	1183	697	22	266	1409	17	1177	9.93e-182	578
bin.001Ωk141_1149_2	UniRef100_Q8RJY5~K16406	31.1	1587	822	41	30	1395	28	1563	6.85e-172	561
bin.001Ωk141_512_1	UniRef100_A0A0A0NV22~K16378	32.4	1270	771	25	2	1191	281	1543	8.67e-154	511
bin.001Ωk141_1896_5	UniRef100_F5YU20~K12444	35.2	1249	735	25	15	1220	10	1227	1.03e-191	611
bin.001Ωk141_1023_2	UniRef100_G2P426~K16378	37.0	1350	770	28	20	1322	4	1319	8.67e-235	725
bin.001Ωk141_160_1	UniRef100_Q4JFF4~K12912	38.2	1172	661	20	107	1238	14	1162	5.72e-201	624
bin.001Ωk141_7183_1	UniRef100_K0NNP3~K01932	39.7	1179	650	12	104	1238	100	1261	1.27e-258	780
bin.001Ωk141_3719_1	UniRef100_B0JPV3~K16132	30.2	1071	690	17	150	1192	7	1047	1.14e-142	471
bin.001Ωk141_2891_2	UniRef100_I3TVT1~K01469	58.0	1226	480	10	6	1213	2	1210	0.0	1323
bin.002Ωk141_7258_2	UniRef100_D0LKL7~K03296	56.9	1173	474	8	5	1153	14	1178	0.0	1143
bin.001Ωk141_2899_1	UniRef100_A0A0A0NID7~K12436	35.1	1135	622	36	22	1117	3	1061	1.54e-132	438
bin.002Ωk141_5173_2	UniRef100_Q314D8~K02316	39.3	1101	642	11	22	1107	11	1100	8.72e-260	769
bin.001Ωk141_2048_1	UniRef100_Q4JFF4~K12912	32.2	989	609	18	162	1111	36	1001	1.43e-110	379
bin.001Ωk141_5950_1	UniRef100_P26225~K01179	40.9	1112	545	28	17	1106	23	1044	3.40e-241	719
bin.001Ωk141_3698_1	UniRef100_A0A191VAL0~K04780	37.6	1077	589	27	43	1069	2	1045	3.19e-179	565
bin.001Ωk141_3252_1	UniRef100_A8KCJ2~K04780	33.4	995	587	24	2	946	114	1082	1.70e-118	397
bin.001Ωk141_5685_2	UniRef100_Q1QQA0~K03296	58.2	1043	428	2	1	1040	1	1038	0.0	1138
bin.001Ωk141_8190_2	UniRef100_A0A0K1IZY0~K22116	39.7	1078	623	14	3	1056	7	1081	1.17e-209	637
bin.001Ωk141_8169_1	UniRef100_Q4JFF2~K12913	35.2	1007	604	17	1	983	96	1077	1.70e-160	508
bin.001Ωk141_4088_2	UniRef100_P0C062~K16096	31.9	1068	657	25	5	1041	65	1093	5.81e-159	504
bin.001Ωk141_1131_1	UniRef100_Q4JFF2~K12913	36.4	1029	607	19	4	1011	72	1074	4.24e-152	486
bin.001Ωk141_300_1	UniRef100_K0EH71~K03296	30.9	970	651	11	2	968	46	999	6.61e-149	475
bin.001Ωk141_2033_1	UniRef100_A0A1G4G9U1~K00688	30.0	863	584	7	111	970	8	853	2.52e-134	431
bin.001Ωk141_7404_2	UniRef100_Q4JFF2~K12913	37.9	990	574	16	1	968	1	971	1.42e-183	566
bin.002Ωk141_3189_2	UniRef100_A0A1D7QCP6~K11942	61.8	964	322	7	21	966	10	945	0.0	1145
bin.001Ωk141_2455_1	UniRef100_Q312G5~K15371	37.2	970	580	10	1	957	30	983	3.75e-191	582
bin.002Ωk141_8204_2	UniRef100_A0LA77~K07678	35.9	811	468	22	12	810	6	776	2.70e-119	392
bin.001Ωk141_1676_1	UniRef100_A0A0A0NI94~K12436	35.1	846	467	23	28	835	121	922	4.30e-113	377
bin.001Ωk141_5295_2	UniRef100_B3QUB2~K07263	43.9	927	516	2	9	931	12	938	8.61e-267	775
bin.001Ωk141_2614_3	UniRef100_I0H625~K04780	33.0	804	458	27	128	887	43	809	2.27e-74	268
bin.002Ωk141_6035_2	UniRef100_A0A0A7EDN7~K03580	41.3	923	508	15	2	905	55	962	2.63e-211	632
bin.002Ωk141_1617_2	UniRef100_A0A0Q8CPB5~K07678	32.1	935	528	23	26	896	24	915	2.55e-101	342
bin.001Ωk141_6077_2	UniRef100_A0A0K2SMH0~K01006	55.9	897	362	8	4	894	7	875	0.0	959
bin.001Ωk141_7575_1	UniRef100_A0A068N7J8~K04780	33.0	813	511	15	98	882	30	836	4.93e-107	359
bin.001Ωk141_5202_1	UniRef100_A0A290SJ73~K02014	50.6	861	408	5	31	881	41	894	0.0	909
bin.001Ωk141_7851_2	UniRef100_A0A127MP53~K01872	51.8	874	392	11	1	856	1	863	2.55e-283	811
bin.001Ωk141_204_1	UniRef100_A0A0K0XW71~K03724	43.5	841	441	10	6	844	4	812	6.80e-219	650
bin.002Ωk141_7748_1	UniRef100_I3YEW5~K03169	50.9	864	383	8	3	840	4	852	2.03e-280	803
bin.001Ωk141_2891_5	UniRef100_A1TQE5~K01955	51.6	859	387	9	1	836	197	1049	3.19e-275	796
bin.001Ωk141_1555_2	UniRef100_Q3IDF4~K01303	36.7	763	463	11	85	837	79	831	2.33e-160	494
bin.001Ωk141_8067_2	UniRef100_L7U820~K06147	37.7	848	505	10	3	839	57	892	7.76e-159	492
bin.001Ωk141_6481_2	UniRef100_A0A142WY35~K03579	41.1	849	452	16	7	823	8	840	6.90e-179	542
bin.001Ωk141_8100_3	UniRef100_F8L209~K01775	35.5	820	509	10	24	831	24	835	1.38e-145	455
bin.002Ωk141_3804_1	UniRef100_A0A143BGP4~K02014	32.3	867	498	19	10	830	10	833	2.69e-105	349
bin.002Ωk141_5068_2	UniRef100_C6E8Q3~K00184	32.8	838	487	21	3	827	192	966	1.34e-109	364
bin.001Ωk141_1572_1	UniRef100_A0A250J763~K03696	32.9	721	429	17	62	750	55	752	4.78e-81	282
bin.001Ωk141_4522_2	UniRef100_D3P7R6~K00362	57.1	808	337	3	2	802	30	834	3.08e-315	890
bin.002Ωk141_6971_2	UniRef100_F0KKQ2~K03043	53.3	854	294	5	1	802	42	842	6.53e-288	820
bin.001Ωk141_5625_1	UniRef100_A0A0M3QGA3~K15726	52.5	824	382	3	1	815	4	827	2.34e-274	792
bin.001Ωk141_6594_1	UniRef100_E8RHS9~K03407	45.7	731	382	5	79	800	166	890	7.74e-206	612
bin.001Ωk141_5980_2	UniRef100_A0A143BNQ2~K01533	32.7	819	495	18	14	802	14	806	2.63e-103	343
bin.001Ωk141_6491_2	UniRef100_B1KRS5~K03406	30.4	764	417	19	9	714	36	742	2.58e-85	293
bin.001Ωk141_5333_4	UniRef100_A0A1Q2M4R6~K01434	45.7	784	409	7	19	800	5	773	2.83e-223	652
bin.002Ωk141_1552_1	UniRef100_A0A0S2SJR2~K02470	54.5	803	350	6	8	800	6	803	1.46e-295	837
bin.001Ωk141_1752_1	UniRef100_A0A143HP68~K02014	42.1	800	419	13	3	797	64	824	2.44e-185	556
bin.001Ωk141_8119_2	UniRef100_B8FB75~K06888	49.7	718	357	3	77	791	2	718	4.44e-245	705
bin.002Ωk141_276_2	UniRef100_A0A143PRI0~K07277	30.9	818	463	20	47	791	73	861	1.72e-106	352
bin.001Ωk141_7621_1	UniRef100_R4LZS9~K04789	33.4	787	486	14	19	787	9	775	8.92e-116	377
bin.001Ωk141_7447_1	UniRef100_Q1IQ72~K01090	52.5	785	363	4	3	783	72	850	5.25e-288	819
bin.002Ωk141_3238_2	UniRef100_A0A150P5B8~K01886	58.3	769	312	7	18	779	17	783	1.06e-305	862
bin.001Ωk141_5047_1	UniRef100_A0A0F7K215~K00163	72.8	779	210	2	1	778	83	860	0.0	1159
bin.001Ωk141_7847_1	UniRef100_B8FIN6~K14162	32.0	805	472	19	3	753	77	860	1.30e-102	342
bin.001Ωk141_7465_2	UniRef100_Q7NN53~K07093	39.5	783	364	24	10	770	5	699	1.39e-150	462
bin.001Ωk141_30_2	UniRef100_L7U820~K06147	41.4	785	434	13	1	769	112	886	1.02e-162	499
bin.001Ωk141_5922_2	UniRef100_A0A142HIM8~K13482	63.4	760	277	1	1	760	1	759	0.0	962
bin.001Ωk141_2867_2	UniRef100_A0A1R0X6B4~K00702	55.7	758	335	1	5	762	55	811	0.0	904
bin.002Ωk141_2430_2	UniRef100_A2U2P9~K16091	46.5	718	367	9	60	768	34	743	2.64e-212	622
bin.001Ωk141_3106_2	UniRef100_G0FVM8~K09136	36.2	755	436	11	13	757	7	725	4.86e-129	406
bin.001Ωk141_4495_2	UniRef100_W0HAD1~K16126	30.3	714	433	14	7	704	23	687	9.78e-76	265
bin.001Ωk141_6097_1	UniRef100_Q607T3~K05365	33.4	752	465	11	9	739	1	737	4.58e-108	352
bin.001Ωk141_7159_1	UniRef100_D8TNQ3~K00284	41.9	787	361	15	1	745	86	818	4.94e-164	500
bin.002Ωk141_7171_1	UniRef100_A0A167G834~K12132	32.2	762	483	15	1	744	91	836	1.89e-89	306
bin.001Ωk141_8019_3	UniRef100_A9EUF2~K07093	52.8	702	297	12	58	751	142	817	1.06e-257	740
bin.001Ωk141_2417_3	UniRef100_E1TJT6~K00123	54.5	745	328	4	14	747	13	757	8.48e-281	797
bin.001Ωk141_7666_1	UniRef100_A0A1S4A4G8~K00284	36.6	803	407	21	31	747	100	886	7.06e-129	411
bin.001Ωk141_5525_2	UniRef100_D0MFF8~K07303	38.6	748	424	11	1	741	19	738	2.73e-149	459
bin.001Ωk141_1777_3	UniRef100_A0A1J1E5C7~K11381	52.7	742	337	9	3	737	30	764	2.80e-247	711
bin.002Ωk141_5076_3	UniRef100_Q029J7~K00951	43.9	719	394	3	26	740	27	740	2.54e-213	623
bin.001Ωk141_5614_2	UniRef100_E6W195~K01952	57.3	715	299	5	2	713	4	715	3.49e-275	781
bin.002Ωk141_2166_2	UniRef100_D8K2Z0~K03581	45.1	720	388	4	12	727	12	728	1.22e-204	601
bin.001Ωk141_6702_1	UniRef100_Q3A8L9~K05366	33.1	710	386	15	47	737	8	647	7.39e-99	328
bin.002Ωk141_6752_1	UniRef100_A0A0G2ZQ23~K16055	42.8	706	388	6	3	704	27	720	5.86e-186	552
